mano,probabilidad_grande,probabilidad_chica,probabilidad_pares,probabilidad_juego,prob_rival_pares_condicionada,prob_rival_juego_condicionada
"[1, 1, 1, 1]",0.0,1.0,0.9528,0.0,0.7007,0.3519
"[1, 1, 1, 2]",0.0,1.0,0.9205,0.0,0.6766,0.3511
"[1, 1, 1, 4]",0.0,1.0,0.9215,0.0,0.6638,0.3337
"[1, 1, 1, 5]",0.0,1.0,0.9306,0.0,0.6685,0.3338
"[1, 1, 1, 6]",0.001,1.0,0.926,0.0,0.6672,0.3248
"[1, 1, 1, 7]",0.0058,1.0,0.9286,0.0,0.6697,0.3083
"[1, 1, 1, 10]",0.0351,1.0,0.9296,0.0003,0.6763,0.2788
"[1, 1, 1, 11]",0.1374,1.0,0.9248,0.0002,0.6736,0.2837
"[1, 1, 1, 3]",0.0,1.0,0.9303,0.0,0.6736,0.3411
"[1, 1, 1, 12]",0.4536,1.0,0.928,0.0005,0.668,0.2856
"[1, 1, 2, 2]",0.0,1.0,0.963,0.0,0.666,0.3511
"[1, 1, 2, 4]",0.0,0.999,0.3475,0.0,0.6617,0.3475
"[1, 1, 2, 5]",0.0,0.9991,0.3489,0.0,0.6603,0.3341
"[1, 1, 2, 6]",0.0005,0.9972,0.3619,0.0,0.6504,0.3107
"[1, 1, 2, 7]",0.0066,0.9985,0.3575,0.0,0.6511,0.305
"[1, 1, 2, 10]",0.036,0.9975,0.3546,0.0009,0.6561,0.2905
"[1, 1, 2, 11]",0.1424,0.9973,0.3531,0.0011,0.6564,0.2798
"[1, 1, 2, 3]",0.0,0.9996,0.3474,0.0,0.6614,0.3507
"[1, 1, 2, 12]",0.4515,0.9969,0.358,0.0006,0.6511,0.2749
"[1, 1, 4, 4]",0.0,0.9916,0.9622,0.0,0.6674,0.3277
"[1, 1, 4, 5]",0.0001,0.9917,0.3538,0.0,0.6547,0.3219
"[1, 1, 4, 6]",0.0014,0.9912,0.3515,0.0002,0.6572,0.3116
"[1, 1, 4, 7]",0.0072,0.9903,0.3657,0.0005,0.6439,0.3059
"[1, 1, 4, 10]",0.0382,0.9909,0.359,0.0082,0.6515,0.264
"[1, 1, 4, 11]",0.1419,0.9898,0.3493,0.0065,0.6618,0.2668
"[1, 1, 4, 3]",0.0,0.9958,0.3522,0.0,0.6567,0.3318
"[1, 1, 4, 12]",0.4715,0.9877,0.3521,0.0076,0.6592,0.2739
"[1, 1, 5, 5]",0.0005,0.99,0.9691,0.0003,0.6607,0.3105
"[1, 1, 5, 6]",0.0019,0.9895,0.3488,0.0006,0.66,0.3065
"[1, 1, 5, 7]",0.0101,0.9868,0.3546,0.0022,0.6544,0.299
"[1, 1, 5, 10]",0.0407,0.9865,0.3545,0.0126,0.6549,0.2747
"[1, 1, 5, 11]",0.1578,0.9868,0.3587,0.0158,0.6515,0.2537
"[1, 1, 5, 3]",0.0,0.9947,0.3488,0.0,0.6621,0.3333
"[1, 1, 5, 12]",0.4722,0.9867,0.346,0.0143,0.6637,0.2677
"[1, 1, 6, 6]",0.0037,0.9861,0.9724,0.0015,0.6642,0.3011
"[1, 1, 6, 7]",0.0152,0.985,0.3514,0.0033,0.6586,0.2948
"[1, 1, 6, 10]",0.0566,0.9869,0.3522,0.0298,0.6564,0.2651
"[1, 1, 6, 11]",0.1778,0.9827,0.3603,0.0278,0.6506,0.2611
"[1, 1, 6, 3]",0.0011,0.9956,0.3501,0.0,0.6609,0.3225
"[1, 1, 6, 12]",0.5311,0.9845,0.3433,0.0312,0.6659,0.2581
"[1, 1, 7, 7]",0.0232,0.9816,0.9752,0.0091,0.6649,0.2838
"[1, 1, 7, 10]",0.0733,0.9838,0.3602,0.0512,0.6504,0.2469
"[1, 1, 7, 11]",0.2063,0.9839,0.3664,0.0544,0.6428,0.2561
"[1, 1, 7, 3]",0.0067,0.9943,0.3571,0.0002,0.6525,0.3151
"[1, 1, 7, 12]",0.5791,0.9828,0.3459,0.0505,0.6628,0.2481
"[1, 1, 10, 10]",0.1021,0.986,0.9825,0.1906,0.6662,0.226
"[1, 1, 10, 11]",0.2657,0.979,0.3518,0.1863,0.6589,0.2185
"[1, 1, 10, 3]",0.0384,0.9944,0.3472,0.0029,0.6611,0.2814
"[1, 1, 10, 12]",0.6767,0.9804,0.3498,0.1847,0.6599,0.2167
"[1, 1, 11, 11]",0.3385,0.9801,0.9884,0.1798,0.67,0.2241
"[1, 1, 11, 3]",0.1395,0.9933,0.3577,0.0033,0.6532,0.2845
"[1, 1, 11, 12]",0.802,0.9812,0.3492,0.1802,0.6582,0.2243
"[1, 1, 3, 3]",0.0,0.9941,0.9665,0.0,0.6685,0.3391
"[1, 1, 3, 12]",0.4566,0.9947,0.3522,0.0023,0.6561,0.2741
"[1, 1, 12, 12]",0.9803,0.9826,0.9988,0.1837,0.6681,0.227
"[1, 2, 2, 2]",0.0,0.9442,0.9213,0.0,0.6661,0.3392
"[1, 2, 2, 4]",0.0,0.9444,0.3834,0.0,0.6535,0.3311
"[1, 2, 2, 5]",0.0001,0.9447,0.3815,0.0,0.6568,0.3266
"[1, 2, 2, 6]",0.0009,0.9462,0.3798,0.0,0.6559,0.3249
"[1, 2, 2, 7]",0.0073,0.943,0.3806,0.0002,0.6571,0.3154
"[1, 2, 2, 10]",0.0349,0.9414,0.377,0.0041,0.6614,0.2815
"[1, 2, 2, 11]",0.1359,0.9411,0.3827,0.0028,0.6534,0.2807
"[1, 2, 2, 3]",0.0,0.9435,0.3882,0.0,0.6522,0.3403
"[1, 2, 2, 12]",0.4549,0.9408,0.3924,0.0039,0.6462,0.2693
"[1, 2, 4, 4]",0.0,0.901,0.4678,0.0001,0.6561,0.3316
"[1, 2, 4, 5]",0.0,0.8989,0.3425,0.0,0.6575,0.3247
"[1, 2, 4, 6]",0.0012,0.8942,0.3468,0.0003,0.6532,0.3109
"[1, 2, 4, 7]",0.0081,0.8921,0.3536,0.0012,0.6464,0.303
"[1, 2, 4, 10]",0.0384,0.8921,0.35,0.0148,0.65,0.2733
"[1, 2, 4, 11]",0.1527,0.8837,0.3493,0.0171,0.6507,0.2741
"[1, 2, 4, 3]",0.0,0.9334,0.3437,0.0,0.6563,0.3344
"[1, 2, 4, 12]",0.4733,0.8812,0.3505,0.0138,0.6495,0.2714
"[1, 2, 5, 5]",0.0006,0.8719,0.5365,0.0005,0.6624,0.3229
"[1, 2, 5, 6]",0.0026,0.8661,0.3534,0.0019,0.6466,0.3088
"[1, 2, 5, 7]",0.0103,0.863,0.3442,0.0055,0.6558,0.297
"[1, 2, 5, 10]",0.0438,0.8645,0.3487,0.0286,0.6513,0.2617
"[1, 2, 5, 11]",0.1505,0.8698,0.3512,0.0272,0.6488,0.2672
"[1, 2, 5, 3]",0.0002,0.9259,0.3494,0.0,0.6506,0.3364
"[1, 2, 5, 12]",0.4881,0.857,0.3552,0.0288,0.6448,0.2632
"[1, 2, 6, 6]",0.0035,0.8517,0.6081,0.0037,0.6459,0.3059
"[1, 2, 6, 7]",0.0151,0.8416,0.3431,0.0094,0.6569,0.2933
"[1, 2, 6, 10]",0.0531,0.845,0.362,0.0512,0.638,0.2545
"[1, 2, 6, 11]",0.1799,0.8429,0.3541,0.05,0.6459,0.2566
"[1, 2, 6, 3]",0.0012,0.9263,0.3471,0.0002,0.6529,0.3227
"[1, 2, 6, 12]",0.5291,0.8459,0.3502,0.051,0.6498,0.2662
"[1, 2, 7, 7]",0.0227,0.8351,0.6767,0.0173,0.663,0.2834
"[1, 2, 7, 10]",0.0776,0.829,0.36,0.0855,0.64,0.2523
"[1, 2, 7, 11]",0.2155,0.8405,0.3516,0.083,0.6484,0.2537
"[1, 2, 7, 3]",0.0067,0.92,0.3569,0.0005,0.6431,0.3112
"[1, 2, 7, 12]",0.5799,0.8222,0.3533,0.0817,0.6467,0.2539
"[1, 2, 10, 10]",0.1025,0.8154,0.7621,0.2533,0.6572,0.2153
"[1, 2, 10, 11]",0.2627,0.8151,0.3518,0.2528,0.6482,0.2231
"[1, 2, 10, 3]",0.0374,0.9153,0.3476,0.008,0.6524,0.277
"[1, 2, 10, 12]",0.6757,0.8153,0.351,0.2582,0.649,0.2251
"[1, 2, 11, 11]",0.3414,0.8065,0.8468,0.2594,0.6621,0.2235
"[1, 2, 11, 3]",0.1365,0.9169,0.3528,0.0072,0.6472,0.2801
"[1, 2, 11, 12]",0.8105,0.8106,0.3504,0.2489,0.6496,0.2213
"[1, 2, 3, 3]",0.0,0.9339,0.4013,0.0,0.6655,0.3352
"[1, 2, 3, 12]",0.4585,0.9141,0.3514,0.0062,0.6486,0.28
"[1, 2, 12, 12]",0.9793,0.8067,0.9302,0.2378,0.6567,0.2244
"[1, 4, 4, 4]",0.0,0.6441,0.9342,0.0007,0.6714,0.3272
"[1, 4, 4, 5]",0.0002,0.6418,0.5063,0.0015,0.6493,0.3162
"[1, 4, 4, 6]",0.0015,0.6457,0.5088,0.005,0.6517,0.2977
"[1, 4, 4, 7]",0.0088,0.6525,0.5047,0.0079,0.6571,0.3028
"[1, 4, 4, 10]",0.0425,0.6504,0.507,0.0543,0.6565,0.2654
"[1, 4, 4, 11]",0.1519,0.6479,0.4952,0.0523,0.6626,0.2659
"[1, 4, 4, 3]",0.0,0.7542,0.4698,0.0001,0.658,0.3284
"[1, 4, 4, 12]",0.4839,0.6494,0.4948,0.054,0.6568,0.2694
"[1, 4, 5, 5]",0.0008,0.6407,0.535,0.0048,0.6599,0.2995
"[1, 4, 5, 6]",0.0026,0.6348,0.3466,0.0093,0.6534,0.3133
"[1, 4, 5, 7]",0.0115,0.6388,0.3474,0.0198,0.6526,0.2986
"[1, 4, 5, 10]",0.053,0.6291,0.3515,0.0894,0.6485,0.2527
"[1, 4, 5, 11]",0.1656,0.6296,0.3509,0.0857,0.6491,0.2601
"[1, 4, 5, 3]",0.0001,0.7569,0.3476,0.0006,0.6524,0.3284
"[1, 4, 5, 12]",0.4979,0.6231,0.3495,0.0823,0.6505,0.2668
"[1, 4, 6, 6]",0.0043,0.6164,0.6079,0.0189,0.6635,0.2898
"[1, 4, 6, 7]",0.0182,0.6233,0.3497,0.0327,0.6503,0.2907
"[1, 4, 6, 10]",0.0581,0.6154,0.3519,0.1279,0.6481,0.2547
"[1, 4, 6, 11]",0.189,0.6068,0.3488,0.1321,0.6512,0.2447
"[1, 4, 6, 3]",0.0015,0.7519,0.3504,0.0021,0.6496,0.3124
"[1, 4, 6, 12]",0.5397,0.6092,0.3543,0.1281,0.6457,0.2513
"[1, 4, 7, 7]",0.0214,0.6075,0.6867,0.0529,0.6541,0.2784
"[1, 4, 7, 10]",0.0788,0.5976,0.3549,0.1833,0.6451,0.2487
"[1, 4, 7, 11]",0.2305,0.5985,0.3548,0.1881,0.6452,0.2382
"[1, 4, 7, 3]",0.0093,0.7468,0.3611,0.0047,0.6389,0.3018
"[1, 4, 7, 12]",0.5948,0.6008,0.3503,0.1782,0.6497,0.2482
"[1, 4, 10, 10]",0.1015,0.5905,0.7561,0.4219,0.6607,0.2145
"[1, 4, 10, 11]",0.2743,0.5858,0.3552,0.4147,0.6448,0.2156
"[1, 4, 10, 3]",0.0416,0.7525,0.3612,0.0306,0.6388,0.2741
"[1, 4, 10, 12]",0.6969,0.5834,0.3591,0.4318,0.6409,0.2014
"[1, 4, 11, 11]",0.3427,0.5755,0.847,0.4233,0.6548,0.2155
"[1, 4, 11, 3]",0.1512,0.7484,0.3556,0.0265,0.6444,0.2688
"[1, 4, 11, 12]",0.8266,0.5835,0.3505,0.4052,0.6495,0.217
"[1, 4, 3, 3]",0.0,0.7733,0.4345,0.0,0.6575,0.3281
"[1, 4, 3, 12]",0.4834,0.7397,0.351,0.028,0.649,0.269
"[1, 4, 12, 12]",0.9811,0.5809,0.9328,0.4174,0.6582,0.2171
"[1, 5, 5, 5]",0.0005,0.566,0.9393,0.0095,0.6735,0.2979
"[1, 5, 5, 6]",0.0031,0.5672,0.566,0.0193,0.6669,0.2975
"[1, 5, 5, 7]",0.0117,0.5641,0.572,0.0312,0.6565,0.2894
"[1, 5, 5, 10]",0.0483,0.5689,0.5688,0.1291,0.655,0.2507
"[1, 5, 5, 11]",0.1732,0.5681,0.5628,0.1243,0.6576,0.261
"[1, 5, 5, 3]",0.0004,0.7373,0.5407,0.0022,0.6587,0.3143
"[1, 5, 5, 12]",0.5072,0.563,0.5724,0.1231,0.6544,0.2596
"[1, 5, 6, 6]",0.0039,0.5621,0.6154,0.034,0.6423,0.2896
"[1, 5, 6, 7]",0.0187,0.5589,0.3548,0.0545,0.6452,0.2892
"[1, 5, 6, 10]",0.0599,0.5506,0.3581,0.1794,0.6419,0.2488
"[1, 5, 6, 11]",0.1878,0.5517,0.3595,0.1845,0.6405,0.2401
"[1, 5, 6, 3]",0.0028,0.7383,0.3426,0.0043,0.6574,0.3138
"[1, 5, 6, 12]",0.5528,0.5526,0.3553,0.1876,0.6447,0.25
"[1, 5, 7, 7]",0.024,0.5542,0.676,0.0888,0.6614,0.2757
"[1, 5, 7, 10]",0.0833,0.5389,0.3575,0.2554,0.6425,0.2451
"[1, 5, 7, 11]",0.2237,0.5369,0.3488,0.2469,0.6512,0.2427
"[1, 5, 7, 3]",0.0113,0.7229,0.3499,0.0084,0.6501,0.2962
"[1, 5, 7, 12]",0.6102,0.5357,0.3468,0.258,0.6532,0.2384
"[1, 5, 10, 10]",0.1004,0.5394,0.7588,0.495,0.6561,0.2189
"[1, 5, 10, 11]",0.2891,0.5377,0.3501,0.5099,0.6499,0.2081
"[1, 5, 10, 3]",0.0454,0.728,0.3507,0.0495,0.6493,0.2728
"[1, 5, 10, 12]",0.7003,0.5216,0.3582,0.5029,0.6418,0.212
"[1, 5, 11, 11]",0.3457,0.5375,0.8479,0.4978,0.6507,0.2135
"[1, 5, 11, 3]",0.1624,0.7242,0.348,0.0542,0.652,0.2623
"[1, 5, 11, 12]",0.8392,0.5227,0.3555,0.4949,0.6445,0.2128
"[1, 5, 3, 3]",0.0001,0.7736,0.4404,0.0002,0.6569,0.3357
"[1, 5, 3, 12]",0.4992,0.7118,0.346,0.0576,0.654,0.2645
"[1, 5, 12, 12]",0.9842,0.5298,0.9329,0.5076,0.6613,0.2076
"[1, 6, 6, 6]",0.0039,0.5046,0.9407,0.056,0.6788,0.2759
"[1, 6, 6, 7]",0.0223,0.5122,0.6346,0.0883,0.6575,0.2752
"[1, 6, 6, 10]",0.0667,0.5147,0.6373,0.2493,0.668,0.2487
"[1, 6, 6, 11]",0.2041,0.5118,0.6345,0.2475,0.6565,0.2483
"[1, 6, 6, 3]",0.0043,0.7109,0.6099,0.0096,0.6565,0.3077
"[1, 6, 6, 12]",0.5676,0.5092,0.642,0.2489,0.6664,0.2433
"[1, 6, 7, 7]",0.0224,0.5059,0.6828,0.1286,0.6528,0.2699
"[1, 6, 7, 10]",0.0904,0.5087,0.3541,0.3255,0.6459,0.2392
"[1, 6, 7, 11]",0.2327,0.5017,0.3601,0.3264,0.6399,0.2398
"[1, 6, 7, 3]",0.0181,0.7091,0.3473,0.0199,0.6527,0.2939
"[1, 6, 7, 12]",0.6273,0.5044,0.354,0.3228,0.646,0.2351
"[1, 6, 10, 10]",0.0996,0.5002,0.7533,0.5892,0.6573,0.21
"[1, 6, 10, 11]",0.2936,0.4905,0.3555,0.5968,0.6445,0.2026
"[1, 6, 10, 3]",0.0561,0.715,0.3589,0.0845,0.6411,0.2553
"[1, 6, 10, 12]",0.7213,0.4957,0.3536,0.5939,0.6464,0.2089
"[1, 6, 11, 11]",0.3376,0.4958,0.8464,0.5889,0.6603,0.2088
"[1, 6, 11, 3]",0.1751,0.7026,0.3602,0.0857,0.6398,0.2656
"[1, 6, 11, 12]",0.8611,0.4878,0.3532,0.5922,0.6468,0.2088
"[1, 6, 3, 3]",0.001,0.7703,0.4469,0.0005,0.6477,0.3162
"[1, 6, 3, 12]",0.5203,0.7057,0.343,0.0834,0.657,0.2613
"[1, 6, 12, 12]",0.9856,0.4848,0.9325,0.5944,0.6547,0.2038
"[1, 7, 7, 7]",0.0222,0.472,0.9471,0.1851,0.6721,0.2641
"[1, 7, 7, 10]",0.0883,0.4848,0.7158,0.4068,0.6583,0.2312
"[1, 7, 7, 11]",0.2475,0.4738,0.7131,0.4139,0.6601,0.2272
"[1, 7, 7, 3]",0.0226,0.6958,0.6825,0.0303,0.6582,0.2891
"[1, 7, 7, 12]",0.6531,0.4739,0.7103,0.4138,0.6663,0.2337
"[1, 7, 10, 10]",0.1,0.4823,0.7574,0.6738,0.6534,0.2053
"[1, 7, 10, 11]",0.3101,0.4751,0.3483,0.6784,0.6517,0.1984
"[1, 7, 10, 3]",0.076,0.6962,0.3494,0.1254,0.6506,0.2519
"[1, 7, 10, 12]",0.7484,0.4739,0.3497,0.6817,0.6503,0.1965
"[1, 7, 11, 11]",0.3452,0.4642,0.842,0.6814,0.6531,0.2016
"[1, 7, 11, 3]",0.2131,0.6924,0.3514,0.1254,0.6486,0.2551
"[1, 7, 11, 12]",0.89,0.4653,0.3575,0.6803,0.6425,0.2005
"[1, 7, 3, 3]",0.006,0.7726,0.4413,0.0017,0.6535,0.304
"[1, 7, 3, 12]",0.5964,0.6853,0.3495,0.1275,0.6505,0.2566
"[1, 7, 12, 12]",0.9881,0.4724,0.9334,0.6787,0.6558,0.2001
"[1, 10, 10, 10]",0.1023,0.4603,0.9555,1.0,0.6701,0.174
"[1, 10, 10, 11]",0.3251,0.4648,0.8035,1.0,0.6551,0.1635
"[1, 10, 10, 3]",0.1027,0.6812,0.7585,0.3324,0.6552,0.2203
"[1, 10, 10, 12]",0.7648,0.4651,0.8029,1.0,0.6543,0.1683
"[1, 10, 11, 11]",0.3404,0.4597,0.8428,1.0,0.6498,0.1726
"[1, 10, 11, 3]",0.2728,0.677,0.3448,0.3382,0.6552,0.2153
"[1, 10, 11, 12]",0.9138,0.4644,0.3453,1.0,0.6547,0.1728
"[1, 10, 3, 3]",0.0362,0.7685,0.4458,0.0176,0.6508,0.2778
"[1, 10, 3, 12]",0.6827,0.6817,0.3422,0.3323,0.6578,0.2222
"[1, 10, 12, 12]",0.9942,0.4559,0.9318,1.0,0.6511,0.1691
"[1, 11, 11, 11]",0.3501,0.4575,0.9544,1.0,0.6795,0.1719
"[1, 11, 11, 3]",0.3452,0.6832,0.8498,0.338,0.653,0.2121
"[1, 11, 11, 12]",0.9443,0.4569,0.8808,1.0,0.6527,0.1762
"[1, 11, 3, 3]",0.1462,0.7661,0.4354,0.0163,0.6562,0.28
"[1, 11, 3, 12]",0.8106,0.679,0.3467,0.3234,0.6533,0.2267
"[1, 11, 12, 12]",0.9977,0.4555,0.9332,1.0,0.6523,0.1666
"[1, 3, 3, 3]",0.0,0.7677,0.9266,0.0001,0.6746,0.3408
"[1, 3, 3, 12]",0.4569,0.7631,0.4472,0.0158,0.6536,0.2742
"[1, 3, 12, 12]",0.9818,0.6708,0.9342,0.3345,0.6533,0.2167
"[1, 12, 12, 12]",1.0,0.4659,0.9657,1.0,0.6748,0.1699
"[2, 2, 2, 2]",0.0,0.3517,0.9527,0.0,0.7048,0.3423
"[2, 2, 2, 4]",0.0,0.3455,0.932,0.0,0.6632,0.3274
"[2, 2, 2, 5]",0.0,0.3436,0.9269,0.0,0.6717,0.3275
"[2, 2, 2, 6]",0.0009,0.348,0.9344,0.0001,0.6729,0.3191
"[2, 2, 2, 7]",0.0052,0.3513,0.9328,0.0009,0.6708,0.3178
"[2, 2, 2, 10]",0.0375,0.3401,0.9302,0.008,0.6752,0.2819
"[2, 2, 2, 11]",0.1435,0.347,0.9297,0.0072,0.6779,0.2823
"[2, 2, 2, 3]",0.0,0.348,0.9311,0.0,0.6768,0.3471
"[2, 2, 2, 12]",0.4613,0.3525,0.9305,0.008,0.6735,0.2868
"[2, 2, 4, 4]",0.0,0.3397,0.9641,0.0003,0.6642,0.3254
"[2, 2, 4, 5]",0.0,0.3476,0.4017,0.0009,0.6605,0.3184
"[2, 2, 4, 6]",0.0005,0.3437,0.4137,0.0014,0.6524,0.3145
"[2, 2, 4, 7]",0.0083,0.3466,0.4044,0.0051,0.6605,0.3049
"[2, 2, 4, 10]",0.0435,0.3474,0.4032,0.0331,0.6626,0.2714
"[2, 2, 4, 11]",0.1475,0.3515,0.401,0.0311,0.6588,0.2762
"[2, 2, 4, 3]",0.0,0.342,0.407,0.0,0.6558,0.3381
"[2, 2, 4, 12]",0.4776,0.3407,0.4137,0.0329,0.6511,0.2739
"[2, 2, 5, 5]",0.0004,0.3413,0.9674,0.0019,0.6647,0.3167
"[2, 2, 5, 6]",0.0022,0.3427,0.4085,0.0043,0.655,0.3073
