posicion_focal,n_kept_comp,n_kept_rival1,n_kept_rival2,prob_grande,prob_chica,prob_pares,prob_juego,n_manos
1,1,1,1,0.004115151515151514,0.9137565656565657,0.5966555555555555,0.5348090909090909,330
1,1,1,2,0.004098989898989899,0.9141020202020201,0.5976313131313131,0.535550505050505,330
1,1,1,3,0.004121212121212122,0.9145888888888888,0.5971141414141414,0.5353040404040403,330
1,1,1,4,0.004113131313131313,0.9140292929292929,0.5969111111111112,0.535419191919192,330
1,1,2,1,0.004134343434343434,0.9142555555555556,0.5975909090909092,0.5347676767676768,330
1,1,2,2,0.0041090909090909095,0.9138898989898989,0.5970010101010101,0.5352494949494949,330
1,1,2,3,0.004090909090909091,0.9140313131313131,0.5976727272727272,0.535850505050505,330
1,1,2,4,0.004093939393939394,0.9139555555555555,0.5971989898989899,0.5355666666666666,330
1,1,3,1,0.004158585858585859,0.913910101010101,0.5980363636363637,0.5352525252525252,330
1,1,3,2,0.004083838383838383,0.913690909090909,0.5977636363636364,0.5355333333333333,330
1,1,3,3,0.00408989898989899,0.9141484848484848,0.5972707070707071,0.5357828282828283,330
1,1,3,4,0.00409090909090909,0.914010101010101,0.5969808080808081,0.5356313131313131,330
1,1,4,1,0.00412929292929293,0.9141424242424242,0.5966878787878788,0.5350727272727273,330
1,1,4,2,0.004061616161616162,0.913920202020202,0.5967090909090909,0.5358868686868687,330
1,1,4,3,0.004087878787878788,0.9140040404040404,0.5972484848484849,0.535769696969697,330
1,1,4,4,0.00413030303030303,0.9138969696969698,0.5969525252525253,0.5352515151515151,330
1,2,1,1,0.0041,0.9142717171717173,0.5973808080808081,0.5353525252525253,330
1,2,1,2,0.004162626262626263,0.9138484848484848,0.5959323232323233,0.5347484848484849,330
1,2,1,3,0.004091919191919192,0.9139171717171717,0.5976939393939394,0.5358151515151515,330
1,2,1,4,0.0041444444444444445,0.9142181818181818,0.5976545454545454,0.5352161616161616,330
1,2,2,1,0.00412929292929293,0.9140848484848486,0.5971838383838384,0.536030303030303,330
1,2,2,2,0.004105050505050505,0.9142626262626262,0.5972252525252525,0.5357121212121212,330
1,2,2,3,0.0041313131313131315,0.9136222222222222,0.5972636363636364,0.5353040404040403,330
1,2,2,4,0.004130303030303031,0.9142585858585859,0.5969969696969697,0.5353494949494949,330
1,2,3,1,0.004123232323232323,0.9137676767676768,0.5970464646464646,0.536639393939394,330
1,2,3,2,0.0040848484848484854,0.9141323232323232,0.5978595959595959,0.5350646464646465,330
1,2,3,3,0.004119191919191919,0.9142939393939393,0.5978959595959596,0.5352777777777779,330
1,2,3,4,0.004097979797979798,0.9138787878787878,0.5966252525252526,0.5352717171717172,330
1,2,4,1,0.004095959595959596,0.9142777777777777,0.5970818181818182,0.5355353535353535,330
1,2,4,2,0.004109090909090909,0.9139707070707072,0.5970161616161616,0.5357323232323232,330
1,2,4,3,0.004114141414141414,0.914190909090909,0.5971828282828283,0.5356848484848485,330
1,2,4,4,0.004070707070707071,0.914070707070707,0.5969767676767677,0.5352757575757575,330
1,3,1,1,0.0040737373737373735,0.9140161616161616,0.5973737373737373,0.5353232323232323,330
1,3,1,2,0.004114141414141414,0.9143363636363636,0.5971383838383838,0.5359525252525252,330
1,3,1,3,0.0040383838383838385,0.9144232323232323,0.5964686868686868,0.5346626262626263,330
1,3,1,4,0.004050505050505051,0.9138282828282829,0.5967909090909091,0.5353424242424243,330
1,3,2,1,0.00405959595959596,0.9141323232323232,0.5971777777777778,0.5358323232323232,330
1,3,2,2,0.0040161616161616155,0.9139636363636364,0.5971141414141414,0.5355757575757576,330
1,3,2,3,0.0040868686868686865,0.9140272727272728,0.5968505050505051,0.5351464646464646,330
1,3,2,4,0.004101010101010101,0.9140171717171718,0.5976080808080808,0.5356666666666667,330
1,3,3,1,0.004094949494949495,0.9140616161616162,0.5973181818181819,0.5352626262626262,330
1,3,3,2,0.00401919191919192,0.9137414141414142,0.5968838383838384,0.5358151515151515,330
1,3,3,3,0.0040757575757575755,0.914,0.5976121212121212,0.536088888888889,330
1,3,3,4,0.00409090909090909,0.9140565656565657,0.5976969696969697,0.5353141414141415,330
1,3,4,1,0.004094949494949495,0.9139373737373737,0.5970949494949496,0.5359737373737373,330
1,3,4,2,0.004096969696969697,0.9141080808080808,0.5975646464646465,0.5366858585858586,330
1,3,4,3,0.0040252525252525255,0.9144767676767677,0.5972636363636364,0.5353838383838384,330
1,3,4,4,0.004113131313131313,0.9140565656565657,0.5971959595959596,0.5353585858585859,330
1,4,1,1,0.004132323232323232,0.9147010101010101,0.5971828282828283,0.5360111111111111,330
1,4,1,2,0.004111111111111111,0.9139909090909092,0.5976474747474748,0.5357737373737373,330
1,4,1,3,0.004116161616161617,0.9140858585858586,0.5975585858585859,0.5355848484848484,330
1,4,1,4,0.004050505050505051,0.9143909090909091,0.5977010101010101,0.5350494949494949,330
1,4,2,1,0.004068686868686869,0.9141999999999999,0.5976020202020201,0.536189898989899,330
1,4,2,2,0.004164646464646465,0.9137949494949494,0.5973616161616162,0.5348888888888889,330
1,4,2,3,0.004090909090909091,0.9141393939393939,0.5972848484848485,0.5354606060606061,330
1,4,2,4,0.004128282828282828,0.914339393939394,0.5967727272727272,0.5357545454545455,330
1,4,3,1,0.004091919191919192,0.9139212121212121,0.5968949494949495,0.535080808080808,330
1,4,3,2,0.004119191919191919,0.9140080808080807,0.5972282828282828,0.5357656565656566,330
1,4,3,3,0.0040515151515151514,0.9145343434343435,0.5967909090909091,0.5350121212121213,330
1,4,3,4,0.004124242424242424,0.914169696969697,0.5975727272727273,0.5353515151515151,330
1,4,4,1,0.004061616161616161,0.9141343434343434,0.596930303030303,0.5347808080808081,330
1,4,4,2,0.0040515151515151514,0.9142939393939393,0.5973141414141414,0.5351484848484848,330
1,4,4,3,0.004085858585858585,0.9142727272727272,0.5964212121212121,0.534889898989899,330
1,4,4,4,0.004095959595959596,0.9138636363636363,0.5974656565656565,0.5358181818181817,330
2,1,1,1,0.004048484848484849,0.9143080808080809,0.5788828282828282,0.5052121212121212,330
2,1,1,2,0.004084848484848485,0.9141343434343434,0.5778292929292929,0.5052080808080809,330
2,1,1,3,0.004134343434343435,0.9147,0.5783434343434343,0.5063232323232324,330
2,1,1,4,0.00407070707070707,0.9141454545454546,0.5783121212121212,0.5056848484848485,330
2,1,2,1,0.004135353535353535,0.9142535353535354,0.5781191919191919,0.5056525252525252,330
2,1,2,2,0.004107070707070707,0.9142767676767678,0.5783444444444444,0.5059454545454545,330
2,1,2,3,0.004141414141414141,0.9140585858585859,0.5789777777777778,0.5063616161616161,330
2,1,2,4,0.00406969696969697,0.9142686868686869,0.5779909090909091,0.5060393939393939,330
2,1,3,1,0.004148484848484848,0.9141525252525253,0.5784282828282828,0.5053212121212122,330
2,1,3,2,0.0040626262626262625,0.9140242424242424,0.5780878787878788,0.5069323232323232,330
2,1,3,3,0.004091919191919192,0.9138101010101011,0.5782252525252526,0.5054020202020202,330
2,1,3,4,0.004087878787878788,0.913821212121212,0.5784888888888888,0.5054181818181819,330
2,1,4,1,0.004132323232323232,0.914239393939394,0.5786414141414141,0.5052656565656566,330
2,1,4,2,0.004114141414141414,0.91409898989899,0.5782242424242424,0.5060191919191919,330
2,1,4,3,0.00404040404040404,0.9142262626262626,0.5777181818181818,0.5047393939393939,330
2,1,4,4,0.004077777777777777,0.9140010101010102,0.577730303030303,0.5055515151515151,330
2,2,1,1,0.004102020202020201,0.9141373737373737,0.5781161616161616,0.5053757575757576,330
2,2,1,2,0.004104040404040404,0.9141858585858585,0.5784646464646465,0.5052818181818182,330
2,2,1,3,0.004082828282828283,0.914179797979798,0.5785444444444444,0.5060353535353536,330
2,2,1,4,0.004167676767676768,0.914170707070707,0.5785313131313131,0.5058939393939393,330
2,2,2,1,0.0040494949494949495,0.9137434343434343,0.5780757575757576,0.5056191919191919,330
2,2,2,2,0.004103030303030304,0.9140818181818181,0.5779484848484849,0.5061636363636364,330
2,2,2,3,0.0041333333333333335,0.9141737373737373,0.5776949494949495,0.5057505050505051,330
2,2,2,4,0.004083838383838384,0.9140636363636364,0.5781535353535353,0.5063121212121212,330
2,2,3,1,0.004096969696969697,0.9136313131313132,0.578810101010101,0.5055272727272727,330
2,2,3,2,0.004098989898989899,0.913929292929293,0.5781858585858586,0.5061363636363636,330
2,2,3,3,0.004130303030303031,0.9141686868686868,0.5777262626262626,0.5044242424242424,330
2,2,3,4,0.004066666666666667,0.9142303030303031,0.5779333333333333,0.5059737373737373,330
2,2,4,1,0.004116161616161617,0.9141676767676769,0.5786727272727272,0.5054838383838384,330
2,2,4,2,0.004114141414141414,0.9143252525252524,0.5780858585858586,0.5058989898989898,330
2,2,4,3,0.004145454545454546,0.9138727272727272,0.578380808080808,0.5048939393939395,330
2,2,4,4,0.00408989898989899,0.9139272727272727,0.5778767676767677,0.5055949494949494,330
2,3,1,1,0.004093939393939394,0.9141131313131313,0.5777969696969697,0.5055282828282828,330
2,3,1,2,0.004111111111111111,0.9139707070707072,0.5776131313131313,0.505859595959596,330
2,3,1,3,0.004107070707070707,0.9140575757575757,0.5784757575757575,0.505450505050505,330
2,3,1,4,0.004103030303030304,0.9140090909090909,0.5784303030303031,0.5057989898989899,330
2,3,2,1,0.004177777777777778,0.9138444444444445,0.5788393939393939,0.5050464646464646,330
2,3,2,2,0.004105050505050505,0.913760606060606,0.5774686868686869,0.5049828282828283,330
2,3,2,3,0.004092929292929293,0.9140010101010102,0.5778686868686869,0.5060060606060606,330
2,3,2,4,0.0040888888888888884,0.9139555555555555,0.5775919191919192,0.504610101010101,330
2,3,3,1,0.004123232323232323,0.9140202020202021,0.5777464646464646,0.5056272727272727,330
2,3,3,2,0.004118181818181818,0.9141383838383838,0.5779262626262626,0.5062141414141414,330
2,3,3,3,0.004077777777777778,0.9140727272727273,0.5774141414141414,0.5059393939393939,330
2,3,3,4,0.004045454545454546,0.913778787878788,0.5783454545454546,0.5061969696969697,330
2,3,4,1,0.00414040404040404,0.9142101010101009,0.5782191919191919,0.505520202020202,330
2,3,4,2,0.004111111111111111,0.9140111111111111,0.5785818181818182,0.5044747474747474,330
2,3,4,3,0.004124242424242424,0.9141949494949494,0.5780030303030302,0.5067636363636364,330
2,3,4,4,0.004092929292929293,0.9143313131313131,0.5781666666666666,0.5054454545454545,330
2,4,1,1,0.004096969696969697,0.9138030303030303,0.5780191919191919,0.5054171717171717,330
2,4,1,2,0.004085858585858586,0.9137121212121212,0.578059595959596,0.5049171717171718,330
2,4,1,3,0.004104040404040404,0.9137626262626263,0.5786333333333333,0.5059333333333333,330
2,4,1,4,0.004091919191919192,0.9142767676767678,0.5779383838383838,0.5053040404040404,330
2,4,2,1,0.0041,0.9141656565656565,0.5774363636363636,0.5054373737373737,330
2,4,2,2,0.004124242424242424,0.9141929292929294,0.5782969696969696,0.5060333333333333,330
2,4,2,3,0.0041090909090909095,0.9142686868686869,0.5781454545454546,0.5044010101010101,330
2,4,2,4,0.0040757575757575755,0.9140767676767677,0.5779959595959596,0.5056949494949495,330
2,4,3,1,0.0040494949494949495,0.9137818181818181,0.5776919191919192,0.5051616161616161,330
2,4,3,2,0.004077777777777777,0.9140868686868686,0.5784292929292929,0.5044848484848484,330
2,4,3,3,0.0041090909090909095,0.9138262626262625,0.5784454545454546,0.5057040404040404,330
2,4,3,4,0.0041202020202020205,0.9138404040404041,0.5790030303030302,0.5062717171717172,330
2,4,4,1,0.0040868686868686865,0.9141636363636363,0.5777494949494949,0.5057979797979798,330
2,4,4,2,0.004061616161616162,0.9142838383838383,0.5787858585858586,0.5056515151515152,330
2,4,4,3,0.004103030303030304,0.9141575757575758,0.5783939393939395,0.5054828282828283,330
2,4,4,4,0.0041333333333333335,0.9140585858585859,0.5778929292929293,0.5054767676767676,330
3,1,1,1,0.004083838383838384,0.914050505050505,0.6006949494949495,0.5350121212121213,330
3,1,1,2,0.004072727272727273,0.9138686868686868,0.6007040404040405,0.5347333333333333,330
3,1,1,3,0.004047474747474748,0.9138454545454546,0.6017656565656565,0.5352989898989898,330
3,1,1,4,0.004115151515151515,0.9142121212121213,0.6013434343434343,0.5344222222222222,330
3,1,2,1,0.00413030303030303,0.9138787878787878,0.6015060606060606,0.5346909090909091,330
3,1,2,2,0.004105050505050505,0.9138333333333333,0.6005767676767677,0.5354454545454546,330
3,1,2,3,0.004121212121212122,0.9143686868686869,0.601560606060606,0.5355222222222222,330
3,1,2,4,0.004098989898989899,0.9139242424242425,0.6009828282828282,0.5337636363636363,330
3,1,3,1,0.004090909090909091,0.9141424242424242,0.6006434343434344,0.5345131313131313,330
3,1,3,2,0.00406969696969697,0.9139373737373737,0.6015555555555555,0.5355707070707071,330
3,1,3,3,0.004112121212121212,0.9142989898989898,0.6008171717171717,0.5348909090909091,330
3,1,3,4,0.004066666666666667,0.9146383838383838,0.601769696969697,0.535410101010101,330
3,1,4,1,0.004050505050505051,0.9140959595959596,0.6013232323232324,0.5348363636363637,330
3,1,4,2,0.00407070707070707,0.9141757575757575,0.6009646464646464,0.5352939393939393,330
3,1,4,3,0.004112121212121212,0.913879797979798,0.6012161616161616,0.5349414141414142,330
3,1,4,4,0.004085858585858586,0.9145363636363637,0.601388888888889,0.5355707070707071,330
3,2,1,1,0.004113131313131313,0.914241414141414,0.6008020202020202,0.5352484848484849,330
3,2,1,2,0.004156565656565656,0.9138686868686868,0.601320202020202,0.5357141414141414,330
3,2,1,3,0.004111111111111111,0.9138636363636363,0.6018050505050505,0.5355444444444445,330
3,2,1,4,0.004180808080808081,0.9140878787878788,0.6016858585858585,0.5353282828282828,330
3,2,2,1,0.004066666666666666,0.9143373737373738,0.6004010101010101,0.5345949494949496,330
3,2,2,2,0.0041070707070707075,0.9140141414141414,0.600860606060606,0.5351161616161616,330
3,2,2,3,0.004081818181818182,0.9141323232323232,0.6007515151515151,0.5348808080808081,330
3,2,2,4,0.004115151515151514,0.9141414141414141,0.6009606060606061,0.5350373737373737,330
3,2,3,1,0.004076767676767677,0.9143454545454545,0.601110101010101,0.5352525252525252,330
3,2,3,2,0.0040868686868686865,0.9143161616161616,0.601441414141414,0.5341505050505051,330
3,2,3,3,0.004103030303030303,0.9138686868686868,0.601459595959596,0.5354969696969697,330
3,2,3,4,0.0040141414141414145,0.9141444444444444,0.6011878787878788,0.5357515151515152,330
3,2,4,1,0.00407979797979798,0.9143727272727272,0.6009848484848485,0.5347383838383838,330
3,2,4,2,0.004071717171717172,0.9139181818181819,0.6012626262626263,0.5346050505050505,330
3,2,4,3,0.004118181818181819,0.9143282828282829,0.6014161616161616,0.5360252525252525,330
3,2,4,4,0.004087878787878788,0.9140121212121213,0.6009353535353535,0.5354161616161616,330
3,3,1,1,0.004045454545454546,0.9140939393939395,0.6009686868686869,0.5357111111111111,330
3,3,1,2,0.0041444444444444445,0.9138474747474747,0.6010333333333333,0.5359646464646465,330
3,3,1,3,0.00414949494949495,0.9144535353535355,0.6004757575757577,0.5350222222222222,330
3,3,1,4,0.004112121212121212,0.9140797979797981,0.601379797979798,0.5357131313131314,330
3,3,2,1,0.00403939393939394,0.9144111111111112,0.6012323232323232,0.5348666666666667,330
3,3,2,2,0.004125252525252525,0.9140171717171718,0.6007353535353536,0.5349222222222223,330
3,3,2,3,0.004134343434343435,0.9138858585858586,0.6008383838383838,0.5352,330
3,3,2,4,0.004113131313131313,0.9140151515151516,0.6006454545454545,0.5346030303030304,330
3,3,3,1,0.004091919191919192,0.9142383838383839,0.6022090909090909,0.5346676767676768,330
3,3,3,2,0.004127272727272728,0.9141454545454546,0.6008828282828284,0.5349333333333333,330
3,3,3,3,0.004116161616161616,0.9140383838383839,0.6003848484848485,0.5358747474747474,330
3,3,3,4,0.004093939393939394,0.9140979797979798,0.6012,0.5349474747474747,330
3,3,4,1,0.004101010101010102,0.9144121212121211,0.6013161616161616,0.535270707070707,330
3,3,4,2,0.004077777777777777,0.914251515151515,0.6014515151515151,0.5346414141414142,330
3,3,4,3,0.004111111111111111,0.9139545454545455,0.6010828282828283,0.5356848484848485,330
3,3,4,4,0.004116161616161617,0.9141393939393939,0.6009131313131313,0.5348535353535353,330
3,4,1,1,0.0041090909090909095,0.9142717171717173,0.6011919191919193,0.5354373737373738,330
3,4,1,2,0.004034343434343434,0.9144050505050505,0.6011232323232323,0.5353858585858586,330
3,4,1,3,0.004063636363636364,0.9141656565656565,0.6011242424242424,0.5352272727272728,330
3,4,1,4,0.004117171717171717,0.9140919191919191,0.6012737373737373,0.5339,330
3,4,2,1,0.004091919191919192,0.9139222222222222,0.6009757575757576,0.5346646464646465,330
3,4,2,2,0.004074747474747475,0.914209090909091,0.6013636363636363,0.5354222222222222,330
3,4,2,3,0.004119191919191919,0.9140111111111111,0.6019161616161616,0.5354626262626262,330
3,4,2,4,0.00401919191919192,0.9139868686868686,0.6009888888888889,0.5346565656565656,330
3,4,3,1,0.004128282828282828,0.9141252525252526,0.6009525252525253,0.5352787878787879,330
3,4,3,2,0.004097979797979798,0.9138626262626262,0.6012040404040404,0.5356484848484849,330
3,4,3,3,0.004065656565656565,0.914040404040404,0.601020202020202,0.5351353535353535,330
3,4,3,4,0.004098989898989899,0.9144818181818182,0.6008626262626263,0.5349262626262626,330
3,4,4,1,0.004123232323232323,0.9141484848484848,0.6012444444444445,0.5359202020202021,330
3,4,4,2,0.004107070707070707,0.9142494949494949,0.6010787878787879,0.5352444444444444,330
3,4,4,3,0.004081818181818182,0.9143666666666667,0.6004808080808081,0.5346424242424243,330
3,4,4,4,0.004093939393939394,0.9137727272727273,0.6007080808080808,0.5352979797979798,330
4,1,1,1,0.004089898989898991,0.9140686868686869,0.5806838383838384,0.5056191919191919,330
4,1,1,2,0.004047474747474748,0.9138767676767677,0.5822151515151515,0.5056454545454545,330
4,1,1,3,0.004141414141414141,0.913620202020202,0.5811151515151515,0.5053797979797979,330
4,1,1,4,0.004143434343434343,0.9138656565656565,0.5823181818181818,0.5044424242424242,330
4,1,2,1,0.0040848484848484854,0.9139616161616161,0.5812797979797979,0.5049252525252526,330
4,1,2,2,0.00413939393939394,0.91409898989899,0.5822858585858586,0.5059090909090909,330
4,1,2,3,0.004136363636363636,0.914080808080808,0.5812747474747474,0.5054707070707071,330
4,1,2,4,0.004101010101010101,0.9138808080808081,0.5820818181818181,0.5055313131313132,330
4,1,3,1,0.004035353535353536,0.9141171717171717,0.5814585858585859,0.5054343434343433,330
4,1,3,2,0.004068686868686869,0.9141131313131313,0.5822040404040404,0.5049393939393939,330
4,1,3,3,0.004140404040404041,0.914,0.5820545454545455,0.5057969696969697,330
4,1,3,4,0.0041464646464646465,0.9140484848484849,0.5817686868686869,0.5055797979797979,330
4,1,4,1,0.0041,0.9142737373737373,0.581609090909091,0.5048313131313131,330
4,1,4,2,0.004114141414141414,0.9142929292929292,0.5820979797979798,0.5053090909090909,330
4,1,4,3,0.004050505050505051,0.9138030303030303,0.5815111111111111,0.5050666666666667,330
4,1,4,4,0.00415050505050505,0.9142383838383839,0.5810626262626263,0.5049303030303031,330
4,2,1,1,0.004137373737373737,0.9142151515151514,0.5812656565656565,0.5047636363636364,330
4,2,1,2,0.0040848484848484854,0.9140212121212121,0.5815474747474747,0.5054939393939394,330
4,2,1,3,0.004094949494949495,0.9140151515151516,0.5817767676767677,0.5052373737373738,330
4,2,1,4,0.004125252525252525,0.9140090909090909,0.5812020202020203,0.5048777777777778,330
4,2,2,1,0.004125252525252526,0.9140979797979798,0.5819757575757576,0.5050646464646464,330
4,2,2,2,0.004180808080808081,0.9143565656565656,0.5819717171717171,0.5063181818181819,330
4,2,2,3,0.0041090909090909095,0.9138181818181819,0.5820565656565656,0.5058949494949495,330
4,2,2,4,0.004116161616161617,0.9142525252525252,0.5820030303030304,0.5060171717171718,330
4,2,3,1,0.004091919191919192,0.9140070707070708,0.5812373737373737,0.5042626262626263,330
4,2,3,2,0.004113131313131313,0.9137323232323231,0.5818323232323233,0.504840404040404,330
4,2,3,3,0.004078787878787879,0.9136292929292928,0.5813393939393939,0.504829292929293,330
4,2,3,4,0.0040737373737373735,0.9136272727272727,0.5822858585858586,0.5058121212121213,330
4,2,4,1,0.00408989898989899,0.9141282828282828,0.5813272727272727,0.5054424242424242,330
4,2,4,2,0.004061616161616162,0.9141969696969697,0.582220202020202,0.5042080808080808,330
4,2,4,3,0.0040010101010101015,0.9144424242424243,0.5817030303030303,0.5052848484848484,330
4,2,4,4,0.004104040404040404,0.9140171717171718,0.5820525252525253,0.5047989898989899,330
4,3,1,1,0.004085858585858586,0.91410101010101,0.5812353535353536,0.5052242424242424,330
4,3,1,2,0.004102020202020201,0.9143282828282829,0.5820121212121212,0.505940404040404,330
4,3,1,3,0.004111111111111111,0.9139838383838383,0.5815676767676768,0.5050040404040403,330
4,3,1,4,0.004023232323232323,0.9144050505050505,0.5812767676767677,0.5042848484848484,330
4,3,2,1,0.004064646464646464,0.9140636363636364,0.5819858585858586,0.505520202020202,330
4,3,2,2,0.0041,0.91409898989899,0.5824424242424242,0.5052030303030304,330
4,3,2,3,0.004068686868686869,0.9145656565656566,0.5817181818181819,0.5048494949494949,330
4,3,2,4,0.00405959595959596,0.9142080808080808,0.5818141414141415,0.5051939393939394,330
4,3,3,1,0.004138383838383838,0.9142868686868687,0.5818323232323233,0.505430303030303,330
4,3,3,2,0.004094949494949495,0.9140666666666667,0.5813545454545455,0.5054666666666666,330
4,3,3,3,0.004171717171717172,0.9137898989898989,0.582239393939394,0.5056545454545455,330
4,3,3,4,0.004118181818181818,0.9139121212121213,0.5822181818181819,0.5057383838383839,330
4,3,4,1,0.0040515151515151514,0.914030303030303,0.5818626262626263,0.5045101010101011,330
4,3,4,2,0.004114141414141414,0.9143252525252524,0.5810545454545454,0.505220202020202,330
4,3,4,3,0.004090909090909091,0.914279797979798,0.5818444444444445,0.5045808080808081,330
4,3,4,4,0.004087878787878788,0.9134959595959596,0.5815424242424242,0.5059565656565657,330
4,4,1,1,0.004115151515151515,0.9144343434343434,0.5814191919191919,0.5054656565656566,330
4,4,1,2,0.004067676767676768,0.9138353535353536,0.5817555555555556,0.5046070707070707,330
4,4,1,3,0.004031313131313131,0.9139383838383839,0.5816595959595959,0.5051313131313131,330
4,4,1,4,0.004128282828282828,0.9142070707070707,0.5818121212121212,0.5050979797979798,330
4,4,2,1,0.004083838383838384,0.9140737373737374,0.5816353535353534,0.5054919191919192,330
4,4,2,2,0.004087878787878788,0.9143151515151515,0.582230303030303,0.5057525252525252,330
4,4,2,3,0.004070707070707071,0.9137515151515152,0.5812111111111111,0.5046090909090909,330
4,4,2,4,0.0040383838383838385,0.9144444444444444,0.5814626262626262,0.5057686868686869,330
4,4,3,1,0.00407979797979798,0.9139545454545455,0.5819525252525253,0.5055424242424242,330
4,4,3,2,0.0041222222222222216,0.9142808080808081,0.5815717171717172,0.5053232323232323,330
4,4,3,3,0.00408989898989899,0.9135666666666666,0.5821080808080807,0.5053696969696969,330
4,4,3,4,0.004091919191919192,0.9140292929292929,0.5819585858585858,0.5052969696969697,330
4,4,4,1,0.00407979797979798,0.9137424242424244,0.581249494949495,0.5052646464646465,330
4,4,4,2,0.00411010101010101,0.9142585858585859,0.5825777777777777,0.5060242424242424,330
4,4,4,3,0.004068686868686869,0.9143050505050505,0.5817575757575757,0.5049646464646464,330
4,4,4,4,0.004117171717171717,0.9139818181818181,0.5827404040404041,0.5049101010101009,330
